,ts,r_u_going?,gender,age,Country,address, [100 Grand Bar], [Anonymous brown globs that come in black and orange wrappers],candy_rating, [Black Jacks], [Bonkers (the candy)], [Bonkers (the board game)], [Bottle Caps], [Box'o'Raisins], [Broken glow stick], [Butterfinger], [Cadbury Creme Eggs], [Candy Corn], [Candy that is clearly just the stuff given out for free at restaurants], [Caramellos]," [Cash, or other forms of legal tender]", [Chardonnay], [Chick-o-Sticks (we don’t know what that is)], [Chiclets], [Coffee Crisp], [Creepy Religious comics/Chick Tracts], [Dental paraphenalia], [Dots], [Dove Bars], [Fuzzy Peaches], [Generic Brand Acetaminophen], [Glow sticks], [Goo Goo Clusters], [Good N' Plenty], [Gum from baseball cards], [Gummy Bears straight up], [Hard Candy], [Healthy Fruit], [Heath Bar], [Hershey's Dark Chocolate], [Hershey’s Milk Chocolate], [Hershey's Kisses], [Hugs (actual physical hugs)], [Jolly Rancher (bad flavor)], [Jolly Ranchers (good flavor)], [JoyJoy (Mit Iodine!)], [Junior Mints], [Senior Mints], [Kale smoothie], [Kinder Happy Hippo], [Kit Kat], [LaffyTaffy], [LemonHeads], [Licorice (not black)], [Licorice (yes black)], [Lindt Truffle], [Lollipops], [Mars], [Mary Janes], [Maynards], [Mike and Ike], [Milk Duds], [Milky Way], [Regular M&Ms], [Peanut M&M’s], [Blue M&M's], [Red M&M's], [Third Party M&M's], [Minibags of chips], [Mint Kisses], [Mint Juleps], [Mr. Goodbar], [Necco Wafers], [Nerds], [Nestle Crunch], [Now'n'Laters], [Peeps], [Pencils], [Person of Interest Season 3 DVD Box Set (not including Disc 4 with hilarious outtakes)], [Pixy Stix], [Reese’s Peanut Butter Cups], [Reese's Pieces], [Reggie Jackson Bar], [Rolos], [Skittles], [Smarties (American)], [Smarties (Commonwealth)], [Snickers], [Sourpatch Kids (i.e. abominations of nature)], [Spotted Dick], [Starburst], [Sweet Tarts], [Swedish Fish], [Sweetums (a friend to diabetes)], [Tic Tacs], [Those odd marshmallow circus peanut things], [Three Musketeers], [Tolberone something or other], [Trail Mix], [Twix]," [Vials of pure high fructose corn syrup, for main-lining into your vein]", [Vicodin], [Whatchamacallit Bars], [White Bread], [Whole Wheat anything], [York Peppermint Patties],Guess the number of mints in my hand.
250,10/24/2016 7:59:47,No,Male,38,United States,Massachusets,JOY,DESPAIR,MEH,JOY,JOY,MEH,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,MEH,JOY,MEH,JOY,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,JOY,JOY,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,JOY,12
251,10/24/2016 7:59:48,No,Male,42,United States,Kentucky,JOY,MEH,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,JOY,JOY,JOY,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,JOY,JOY,MEH,MEH,JOY,DESPAIR,MEH,MEH,MEH,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,JOY,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,MEH,7
252,10/24/2016 7:59:50,No,Male,17,Canada,Ontario,MEH,DESPAIR,JOY,MEH,MEH,JOY,JOY,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,MEH,MEH,JOY,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,MEH,JOY,MEH,JOY,MEH,MEH,MEH,MEH,JOY,MEH,MEH,DESPAIR,DESPAIR,,MEH,JOY,JOY,MEH,JOY,JOY,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,JOY,DESPAIR,JOY,DESPAIR,MEH,MEH,JOY,MEH,MEH,JOY,MEH,MEH,MEH,MEH,DESPAIR,JOY,JOY,DESPAIR,MEH,MEH,JOY,DESPAIR,JOY,MEH,JOY,JOY,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,MEH,MEH,JOY,JOY,MEH,DESPAIR,JOY,JOY,Three
253,10/24/2016 8:02:38,No,Female,38,United States,NY,MEH,DESPAIR,JOY,MEH,MEH,JOY,MEH,DESPAIR,DESPAIR,JOY,MEH,JOY,DESPAIR,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,MEH,MEH,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,MEH,JOY,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,JOY,JOY,DESPAIR,MEH,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,2
254,10/24/2016 8:03:12,No,Female,28,United States,Virginia,MEH,MEH,JOY,MEH,,,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,MEH,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,,,JOY,,MEH,DESPAIR,JOY,MEH,MEH,JOY,JOY,JOY,JOY,DESPAIR,MEH,MEH,,JOY,,,JOY,JOY,MEH,JOY,MEH,JOY,JOY,JOY,JOY,MEH,,MEH,JOY,JOY,JOY,MEH,JOY,JOY,DESPAIR,MEH,JOY,JOY,MEH,DESPAIR,JOY,JOY,MEH,MEH,MEH,,MEH,JOY,JOY,,JOY,MEH,JOY,MEH,JOY,MEH,,MEH,MEH,MEH,,JOY,DESPAIR,JOY,JOY,MEH,JOY,,,,,,JOY,3
255,10/24/2016 8:03:28,No,Male,39,United States,NY,JOY,DESPAIR,JOY,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,JOY,DESPAIR,MEH,MEH,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,MEH,DESPAIR,MEH,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,MEH,DESPAIR,JOY,JOY,MEH,JOY,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,MEH,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,7
256,10/24/2016 8:04:53,No,Male,33,United States,KS,MEH,DESPAIR,JOY,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,MEH,JOY,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,JOY,MEH,DESPAIR,JOY,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,JOY,MEH,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,DESPAIR,MEH,JOY,MEH,JOY,DESPAIR,MEH,MEH,JOY,JOY,DESPAIR,MEH,MEH,MEH,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,MEH,DESPAIR,JOY,JOY,MEH,JOY,DESPAIR,JOY,MEH,MEH,MEH,JOY,8
257,10/24/2016 8:05:12,No,Female,46,United States,durham nc,JOY,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,MEH,JOY,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,MEH,JOY,MEH,DESPAIR,JOY,MEH,DESPAIR,MEH,MEH,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,JOY,MEH,MEH,MEH,JOY,MEH,JOY,MEH,DESPAIR,JOY,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,MEH,JOY,MEH,MEH,MEH,MEH,DESPAIR,MEH,JOY,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,MEH,JOY,JOY,JOY,MEH,MEH,JOY,JOY,MEH,MEH,MEH,MEH,MEH,JOY,MEH,MEH,MEH,JOY,MEH,JOY,MEH,JOY,MEH,MEH,JOY,MEH,MEH,JOY,1
258,10/24/2016 8:05:25,No,Female,37,Canada,BC,MEH,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,MEH,JOY,MEH,MEH,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,DESPAIR,MEH,JOY,MEH,MEH,MEH,DESPAIR,MEH,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,MEH,MEH,MEH,MEH,JOY,JOY,MEH,MEH,MEH,DESPAIR,MEH,JOY,JOY,MEH,JOY,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,15
259,10/24/2016 8:08:42,No,Male,45,United States,illinois,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,JOY,MEH,MEH,MEH,MEH,JOY,MEH,JOY,MEH,MEH,MEH,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,MEH,MEH,DESPAIR,JOY,MEH,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,MEH,JOY,
260,10/24/2016 8:08:57,No,Male,66,United States,ny,JOY,MEH,JOY,JOY,MEH,,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,,DESPAIR,,MEH,JOY,MEH,MEH,JOY,JOY,DESPAIR,JOY,MEH,,MEH,MEH,JOY,JOY,JOY,JOY,JOY,DESPAIR,MEH,MEH,,MEH,MEH,,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,,MEH,MEH,DESPAIR,,JOY,MEH,JOY,MEH,JOY,MEH,,MEH,JOY,JOY,JOY,DESPAIR,MEH,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,4
261,10/24/2016 8:11:25,No,Male,35,United States,ohio,JOY,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,MEH,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,7
262,10/24/2016 8:11:50,No,Male,47,United States,MD,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,JOY,MEH,JOY,JOY,DESPAIR,MEH,MEH,MEH,JOY,JOY,JOY,JOY,MEH,DESPAIR,DESPAIR,MEH,JOY,MEH,MEH,JOY,MEH,MEH,DESPAIR,MEH,MEH,JOY,MEH,JOY,JOY,MEH,MEH,MEH,JOY,DESPAIR,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,MEH,
263,10/24/2016 8:15:20,No,Female,58,Canada,Alberta,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,DESPAIR,MEH,MEH,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,JOY,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,JOY,42
264,10/24/2016 8:15:44,No,Male,35,United States,IL,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,MEH,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,MEH,DESPAIR,JOY,JOY,MEH,JOY,MEH,MEH,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,MEH,JOY,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,MEH,MEH,MEH,MEH,MEH,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,17
265,10/24/2016 8:16:07,No,Male,Fifty.  Nine.  Ish.,United States,Peoples Republic of Kalifornia,JOY,DESPAIR,JOY,DESPAIR,,,,DESPAIR,,MEH,JOY,DESPAIR,,,MEH,,,DESPAIR,,MEH,MEH,DESPAIR,JOY,DESPAIR,,MEH,,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,,JOY,,DESPAIR,,JOY,DESPAIR,DESPAIR,MEH,MEH,JOY,DESPAIR,JOY,,,,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,MEH,,,JOY,MEH,,JOY,,DESPAIR,MEH,,DESPAIR,MEH,JOY,,JOY,DESPAIR,DESPAIR,,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,,,,DESPAIR,DESPAIR,JOY,"Eight.  No, wait... nine.  No, eight."
266,10/24/2016 8:17:05,No,Male,32,United States,Georgia,MEH,MEH,JOY,,,,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,MEH,JOY,JOY,DESPAIR,,DESPAIR,,DESPAIR,MEH,MEH,MEH,,DESPAIR,JOY,,MEH,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,MEH,MEH,DESPAIR,JOY,JOY,,JOY,,DESPAIR,,MEH,MEH,MEH,MEH,JOY,,MEH,MEH,MEH,MEH,MEH,MEH,JOY,MEH,MEH,,MEH,MEH,DESPAIR,MEH,,MEH,MEH,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,JOY,JOY,,JOY,JOY,DESPAIR,,JOY,MEH,,JOY,DESPAIR,MEH,,MEH,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,,DESPAIR,DESPAIR,JOY,6
267,10/24/2016 8:17:16,No,Male,34,United States,PA,MEH,DESPAIR,JOY,DESPAIR,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,MEH,MEH,MEH,MEH,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,JOY,MEH,DESPAIR,JOY,DESPAIR,JOY,MEH,MEH,JOY,MEH,JOY,DESPAIR,MEH,JOY,JOY,JOY,MEH,MEH,MEH,MEH,JOY,JOY,DESPAIR,DESPAIR,MEH,MEH,JOY,MEH,DESPAIR,DESPAIR,MEH,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,JOY,21
268,10/24/2016 8:19:55,No,Female,41,United States,Minnesota,JOY,DESPAIR,JOY,MEH,MEH,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,MEH,JOY,JOY,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,MEH,MEH,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,DESPAIR,MEH,JOY,MEH,DESPAIR,MEH,DESPAIR,JOY,JOY,MEH,MEH,MEH,MEH,JOY,JOY,JOY,DESPAIR,JOY,JOY,MEH,JOY,MEH,JOY,DESPAIR,MEH,JOY,JOY,MEH,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,JOY,MEH,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,DESPAIR,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,0
269,10/24/2016 8:20:03,No,Female,29,United States,WI,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,MEH,MEH,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,5
270,10/24/2016 8:20:13,No,Male,29,United States,CA,JOY,DESPAIR,JOY,,,,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,DESPAIR,JOY,JOY,MEH,,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,MEH,MEH,JOY,DESPAIR,JOY,MEH,MEH,JOY,MEH,MEH,MEH,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,MEH,JOY,JOY,JOY,MEH,JOY,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,MEH,DESPAIR,MEH,MEH,MEH,JOY,JOY,JOY,JOY,JOY,JOY,MEH,MEH,MEH,JOY,JOY,,MEH,MEH,MEH,JOY,JOY,JOY,DESPAIR,JOY,MEH,JOY,,JOY,DESPAIR,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,9
272,10/24/2016 8:20:23,No,Male,49,United States,MN,MEH,DESPAIR,JOY,DESPAIR,MEH,MEH,JOY,MEH,DESPAIR,MEH,JOY,JOY,DESPAIR,JOY,MEH,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,JOY,JOY,DESPAIR,JOY,MEH,JOY,JOY,DESPAIR,MEH,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,MEH,JOY,MEH,JOY,JOY,JOY,MEH,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,JOY,JOY,JOY,MEH,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,MEH,MEH,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,"Three melted and sticky mints.  Seriously, eat those!"
273,10/24/2016 8:20:32,No,Male,33,United States,al,JOY,DESPAIR,JOY,DESPAIR,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,MEH,DESPAIR,MEH,DESPAIR,MEH,MEH,JOY,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,MEH,DESPAIR,JOY,MEH,MEH,JOY,DESPAIR,MEH,MEH,MEH,MEH,JOY,MEH,MEH,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,JOY,JOY,JOY,JOY,MEH,MEH,JOY,5
274,10/24/2016 8:21:34,No,Male,31,United States,TX,MEH,MEH,JOY,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,MEH,JOY,DESPAIR,MEH,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,MEH,MEH,MEH,DESPAIR,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,MEH,DESPAIR,MEH,MEH,MEH,MEH,JOY,JOY,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,MEH,MEH,JOY,JOY,MEH,MEH,MEH,JOY,JOY,MEH,MEH,MEH,JOY,MEH,MEH,JOY,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,0
